Average of length [children] of user,Column Labels,,
Row Labels,{breed attack-profiles},{breed random-profiles},Grand Total
1,0.372,0.021,0.1965
2,0.861,0.047,0.454
3,1.335,0.073,0.704
4,1.786,0.088,0.937
5,2.284284284,0.105105105,1.194694695
6,2.77811245,0.116935484,1.450201207
7,3.267820774,0.127681307,1.700152983
8,3.691345151,0.141509434,1.921066388
9,4.132762313,0.151912568,2.162790698
10,4.492450639,0.161592506,2.335860058
11,4.789825971,0.168187744,2.448480845
12,5.14374034,0.180834621,2.662287481
13,5.368217054,0.174242424,2.74137931
14,5.559493671,0.179551122,2.849246231
15,5.660447761,0.184563758,2.777385159
Grand Total,3.029014954,0.117723366,1.571596721
