Average of [score] of user,Column Labels,,
Row Labels,{breed attack-profiles},{breed random-profiles},Grand Total
1,1.306,-0.072,0.617
2,3.902,-0.036,1.933
3,6.27,-0.092,3.089
4,8.706,0.028,4.367
5,11.048,0.108,5.578
6,12.938,-0.08,6.429
7,14.886,-0.012,7.437
8,16.344,0.124,8.234
9,17.78,0.02,8.9
10,19.006,0,9.503
11,19.958,0,9.979
12,20.77,0,10.385
13,21.496,0,10.748
14,22.178,0,11.089
15,22.562,0,11.281
16,22.83567134,0,11.40640641
17,23.12024048,0,11.57171515
18,23.27991886,0,11.60465116
19,23.44969199,0,11.74897119
20,23.55555556,0,11.74085684
21,23.64473684,0,11.65621622
22,23.71362587,0,11.78874856
23,23.74689826,0,11.90298507
24,23.80108992,0,11.93306011
25,23.89700997,0,11.81116585
26,23.87649402,0,11.986
27,23.91666667,0,11.74424552
28,24.0962963,0,12.1380597
29,24.2020202,0,12.2244898
30,24.46774194,0,11.75968992
31,24.70967742,0,10.21333333
32,24.7,0,11.48837209
33,24.8,0,13.28571429
34,25,0,9.090909091
35,25,0,16.66666667
36,,0,0
Grand Total,18.28705013,-0.000469704,9.126078431
